,question,answer
11,How packed does Myeongdong get around Post-work rush?,"The requested Post-work rush congestion in Myeongdong is 
내선 :17:00 - 87.9, 17:30 - 10.2, 18:00 - 26.4, 18:30 - 126.2, 19:00 - 70.7, 19:30 - 37.4. mean congestion is 59.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :17:00 - 86.7, 17:30 - 127.4, 18:00 - 85.7, 18:30 - 86.0, 19:00 - 78.3, 19:30 - 38.9. mean congestion is 83.8. This time period is crowded, so we recommend visiting during a different time.
"
12,What’s the foot traffic in Myeongdong during Morning hustle?,"The requested Morning hustle congestion in Myeongdong is 
상선 :7:00 - 61.8, 7:30 - 9.0, 8:00 - 58.0, 8:30 - 2.1, 9:00 - 96.5, 9:30 - 63.0. mean congestion is 48.4. This time period is not busy, so it's a good time to visit.
하선 :7:00 - 33.6, 7:30 - 37.1, 8:00 - 73.4, 8:30 - 61.7, 9:00 - 49.0, 9:30 - 77.3. mean congestion is 55.4. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
13,What’s the Early morning traffic like in Myeongdong?,"The requested Early morning congestion in Myeongdong is 
상선 :5:30 - 86.7, 6:00 - 28.9, 6:30 - 62.6. mean congestion is 59.4. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :5:30 - 7.5, 6:00 - 11.1, 6:30 - 4.4. mean congestion is 7.7. This time period is not busy, so it's a good time to visit.
"
14,How much foot traffic does Myeongdong have at Golden hour?,"The requested Golden hour congestion in Myeongdong is 
상선 :7:00 - 122.4, 7:30 - 41.5, 8:00 - 93.7, 8:30 - 110.7, 9:00 - 109.4, 9:30 - 72.5, 17:00 - 68.9, 17:30 - 34.0, 18:00 - 13.4, 18:30 - 66.9, 19:00 - 103.8, 19:30 - 51.0. mean congestion is 74.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :7:00 - 124.9, 7:30 - 85.9, 8:00 - 43.5, 8:30 - 99.6, 9:00 - 0.1, 9:30 - 63.8, 17:00 - 108.3, 17:30 - 58.9, 18:00 - 47.1, 18:30 - 76.3, 19:00 - 113.5, 19:30 - 97.1. mean congestion is 76.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
15,How busy is Gangnam around Late afternoon?,"The requested Late afternoon congestion in Gangnam is 
상선 :12:00 - 20.7, 12:30 - 102.2, 13:00 - 26.6, 13:30 - 53.2, 14:00 - 53.6, 14:30 - 108.2. mean congestion is 60.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :12:00 - 63.9, 12:30 - 111.6, 13:00 - 57.6, 13:30 - 2.1, 14:00 - 20.0, 14:30 - 19.4. mean congestion is 45.8. This time period is not busy, so it's a good time to visit.
"
16,How heavy is the crowd in Gangnam around Post-work rush?,"The requested Post-work rush congestion in Gangnam is 
내선 :17:00 - 13.4, 17:30 - 51.6, 18:00 - 26.9, 18:30 - 2.7, 19:00 - 46.8, 19:30 - 27.4. mean congestion is 28.1. This time period is not busy, so it's a good time to visit.
외선 :17:00 - 80.9, 17:30 - 117.0, 18:00 - 48.5, 18:30 - 77.9, 19:00 - 11.9, 19:30 - 46.8. mean congestion is 63.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
17,What’s the crowd flow like in Myeongdong during Lunchtime rush?,"The requested Lunchtime rush congestion in Myeongdong is 
내선 :12:00 - 15.6, 12:30 - 61.2, 13:00 - 7.5, 13:30 - 54.6, 14:00 - 98.9, 14:30 - 79.5. mean congestion is 52.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 76.8, 12:30 - 46.1, 13:00 - 37.9, 13:30 - 87.3, 14:00 - 95.6, 14:30 - 3.8. mean congestion is 57.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
18,How crowded is Hongdea around Breakfast time?,"The requested Breakfast time congestion in Hongdea is 
상선 :7:00 - 72.5, 7:30 - 7.1, 8:00 - 38.9, 8:30 - 38.2, 9:00 - 31.0, 9:30 - 36.1. mean congestion is 37.3. This time period is not busy, so it's a good time to visit.
하선 :7:00 - 101.5, 7:30 - 41.5, 8:00 - 9.1, 8:30 - 75.8, 9:00 - 3.8, 9:30 - 20.0. mean congestion is 41.9. This time period is not busy, so it's a good time to visit.
"
19,How dense is the crowd in Myeongdong around Late afternoon?,"The requested Late afternoon congestion in Myeongdong is 
내선 :12:00 - 2.7, 12:30 - 78.9, 13:00 - 53.1, 13:30 - 64.8, 14:00 - 20.7, 14:30 - 85.4. mean congestion is 50.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 38.6, 12:30 - 56.5, 13:00 - 63.7, 13:30 - 57.4, 14:00 - 101.4, 14:30 - 58.1. mean congestion is 62.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
20,What’s the foot traffic in Hongdea during Evening peak?,"The requested Evening peak congestion in Hongdea is 
상선 :17:00 - 6.7, 17:30 - 119.0, 18:00 - 90.0, 18:30 - 114.0, 19:00 - 5.6, 19:30 - 27.3. mean congestion is 60.4. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :17:00 - 7.7, 17:30 - 51.7, 18:00 - 56.1, 18:30 - 71.0, 19:00 - 72.5, 19:30 - 27.5. mean congestion is 47.8. This time period is not busy, so it's a good time to visit.
"
21,How heavy is the crowd in Myeongdong around Breakfast time?,"The requested Breakfast time congestion in Myeongdong is 
내선 :7:00 - 108.1, 7:30 - 81.0, 8:00 - 92.1, 8:30 - 67.1, 9:00 - 33.1, 9:30 - 91.0. mean congestion is 78.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 27.4, 7:30 - 31.9, 8:00 - 70.8, 8:30 - 110.2, 9:00 - 37.6, 9:30 - 96.8. mean congestion is 62.5. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
22,How are the crowds in Gangnam at Morning hustle?,"The requested Morning hustle congestion in Gangnam is 
상선 :7:00 - 11.3, 7:30 - 45.6, 8:00 - 5.6, 8:30 - 73.3, 9:00 - 122.3, 9:30 - 85.2. mean congestion is 57.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :7:00 - 107.7, 7:30 - 124.9, 8:00 - 61.5, 8:30 - 108.4, 9:00 - 104.6, 9:30 - 70.2. mean congestion is 96.2. This time period is crowded, so we recommend visiting during a different time.
"
23,How busy is Myeongdong around Late afternoon?,"The requested Late afternoon congestion in Myeongdong is 
내선 :12:00 - 69.5, 12:30 - 45.5, 13:00 - 49.7, 13:30 - 91.1, 14:00 - 28.5, 14:30 - 27.2. mean congestion is 51.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 11.6, 12:30 - 22.8, 13:00 - 127.3, 13:30 - 96.9, 14:00 - 92.8, 14:30 - 65.8. mean congestion is 69.5. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
24,How crowded is Hongdea around Late afternoon?,"The requested Late afternoon congestion in Hongdea is 
상선 :12:00 - 4.4, 12:30 - 32.7, 13:00 - 46.6, 13:30 - 71.4, 14:00 - 37.6, 14:30 - 110.8. mean congestion is 50.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :12:00 - 107.1, 12:30 - 89.8, 13:00 - 123.1, 13:30 - 7.0, 14:00 - 41.6, 14:30 - 91.5. mean congestion is 76.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
25,What’s the crowd situation in Hongdea at Brunch hour?,"The requested Brunch hour congestion in Hongdea is 
내선 :10:00 - 108.8, 10:30 - 118.4, 11:00 - 125.0, 11:30 - 93.2. mean congestion is 111.4. This time period is crowded, so we recommend visiting during a different time.
외선 :10:00 - 5.9, 10:30 - 25.6, 11:00 - 31.7, 11:30 - 53.6. mean congestion is 29.2. This time period is not busy, so it's a good time to visit.
"
26,What are the crowds like in Hongdea during Mid-morning hours?,"The requested Mid-morning hours congestion in Hongdea is 
내선 :10:00 - 108.1, 10:30 - 3.6, 11:00 - 49.8, 11:30 - 71.2. mean congestion is 58.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :10:00 - 74.5, 10:30 - 15.4, 11:00 - 75.3, 11:30 - 127.9. mean congestion is 73.3. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
27,What’s the crowd flow like in Myeongdong during Post-work rush?,"The requested Post-work rush congestion in Myeongdong is 
내선 :17:00 - 121.7, 17:30 - 101.7, 18:00 - 103.2, 18:30 - 98.1, 19:00 - 57.9, 19:30 - 83.3. mean congestion is 94.3. This time period is crowded, so we recommend visiting during a different time.
외선 :17:00 - 96.1, 17:30 - 115.3, 18:00 - 104.7, 18:30 - 119.9, 19:00 - 59.7, 19:30 - 83.8. mean congestion is 96.6. This time period is crowded, so we recommend visiting during a different time.
"
28,What’s the population density in Gangnam around Lunchtime?,"The requested Lunchtime congestion in Gangnam is 
상선 :12:00 - 114.5, 12:30 - 19.8, 13:00 - 3.3, 13:30 - 15.5, 14:00 - 116.5, 14:30 - 37.6. mean congestion is 51.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :12:00 - 33.7, 12:30 - 34.5, 13:00 - 0.9, 13:30 - 127.1, 14:00 - 128.7, 14:30 - 123.2. mean congestion is 74.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
29,How heavy is the crowd in Myeongdong around Evening peak?,"The requested Evening peak congestion in Myeongdong is 
내선 :17:00 - 59.7, 17:30 - 88.9, 18:00 - 11.3, 18:30 - 83.2, 19:00 - 103.5, 19:30 - 43.1. mean congestion is 65.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :17:00 - 63.5, 17:30 - 94.0, 18:00 - 100.9, 18:30 - 42.6, 19:00 - 94.1, 19:30 - 59.5. mean congestion is 75.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
30,What’s the Mid-morning hours traffic like in Myeongdong?,"The requested Mid-morning hours congestion in Myeongdong is 
상선 :10:00 - 81.8, 10:30 - 118.8, 11:00 - 9.9, 11:30 - 126.8. mean congestion is 84.3. This time period is crowded, so we recommend visiting during a different time.
하선 :10:00 - 29.7, 10:30 - 50.0, 11:00 - 90.7, 11:30 - 14.9. mean congestion is 46.3. This time period is not busy, so it's a good time to visit.
"
31,What’s the crowd situation in Hongdea at Peak travel time?,"The requested Peak travel time congestion in Hongdea is 
상선 :7:00 - 36.8, 7:30 - 100.9, 8:00 - 28.6, 8:30 - 8.9, 9:00 - 63.5, 9:30 - 44.5, 17:00 - 18.3, 17:30 - 122.8, 18:00 - 117.7, 18:30 - 37.5, 19:00 - 110.1, 19:30 - 60.0. mean congestion is 62.5. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :7:00 - 18.3, 7:30 - 25.9, 8:00 - 127.4, 8:30 - 40.1, 9:00 - 69.4, 9:30 - 33.9, 17:00 - 58.1, 17:30 - 48.0, 18:00 - 91.4, 18:30 - 69.4, 19:00 - 87.8, 19:30 - 29.3. mean congestion is 58.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
32,What’s the population density in Hongdea around High traffic time?,"The requested High traffic time congestion in Hongdea is 
내선 :7:00 - 41.2, 7:30 - 109.6, 8:00 - 19.5, 8:30 - 93.2, 9:00 - 82.3, 9:30 - 127.7, 17:00 - 42.8, 17:30 - 95.6, 18:00 - 93.4, 18:30 - 71.1, 19:00 - 81.9, 19:30 - 27.9. mean congestion is 73.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 86.4, 7:30 - 30.3, 8:00 - 97.4, 8:30 - 86.5, 9:00 - 49.6, 9:30 - 97.2, 17:00 - 87.0, 17:30 - 65.6, 18:00 - 71.8, 18:30 - 69.1, 19:00 - 104.1, 19:30 - 118.3. mean congestion is 80.3. This time period is crowded, so we recommend visiting during a different time.
"
33,What’s the congestion like in Hongdea at High traffic time?,"The requested High traffic time congestion in Hongdea is 
내선 :7:00 - 41.7, 7:30 - 119.3, 8:00 - 27.5, 8:30 - 92.5, 9:00 - 81.8, 9:30 - 27.0, 17:00 - 120.0, 17:30 - 4.3, 18:00 - 2.9, 18:30 - 115.9, 19:00 - 0.8, 19:30 - 118.9. mean congestion is 62.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 100.3, 7:30 - 23.1, 8:00 - 22.9, 8:30 - 11.6, 9:00 - 78.9, 9:30 - 72.0, 17:00 - 98.4, 17:30 - 19.8, 18:00 - 17.6, 18:30 - 60.0, 19:00 - 110.0, 19:30 - 92.9. mean congestion is 59.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
34,Is Myeongdong packed around Midday?,"The requested Midday congestion in Myeongdong is 
내선 :12:00 - 51.5, 12:30 - 102.4, 13:00 - 96.7, 13:30 - 103.4, 14:00 - 108.7, 14:30 - 125.6. mean congestion is 98.0. This time period is crowded, so we recommend visiting during a different time.
외선 :12:00 - 37.3, 12:30 - 129.7, 13:00 - 35.2, 13:30 - 128.1, 14:00 - 104.5, 14:30 - 84.7. mean congestion is 86.6. This time period is crowded, so we recommend visiting during a different time.
"
35,How dense is the crowd in Hongdea around Dawn hours?,"The requested Dawn hours congestion in Hongdea is 
상선 :5:30 - 52.0, 6:00 - 114.3, 6:30 - 35.4. mean congestion is 67.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :5:30 - 100.4, 6:00 - 48.5, 6:30 - 30.5. mean congestion is 59.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
36,How dense is the crowd in Myeongdong around Early bird hours?,"The requested Early bird hours congestion in Myeongdong is 
내선 :7:00 - 43.6, 7:30 - 83.2, 8:00 - 101.8, 8:30 - 119.4, 9:00 - 52.5, 9:30 - 10.7. mean congestion is 68.5. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 4.1, 7:30 - 125.1, 8:00 - 56.9, 8:30 - 23.0, 9:00 - 111.4, 9:30 - 48.0. mean congestion is 61.4. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
37,What’s the crowd flow like in Gangnam during Mid-morning hours?,"The requested Mid-morning hours congestion in Gangnam is 
상선 :10:00 - 65.6, 10:30 - 29.4, 11:00 - 86.1, 11:30 - 39.9. mean congestion is 55.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :10:00 - 64.5, 10:30 - 20.7, 11:00 - 50.7, 11:30 - 100.2. mean congestion is 59.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
38,What are the crowds like in Hongdea during Lunchtime rush?,"The requested Lunchtime rush congestion in Hongdea is 
내선 :12:00 - 121.5, 12:30 - 119.9, 13:00 - 109.5, 13:30 - 80.0, 14:00 - 44.1, 14:30 - 74.1. mean congestion is 91.5. This time period is crowded, so we recommend visiting during a different time.
외선 :12:00 - 63.0, 12:30 - 12.9, 13:00 - 103.1, 13:30 - 108.2, 14:00 - 9.9, 14:30 - 129.1. mean congestion is 71.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
39,What’s the congestion like in Hongdea at Pre-dawn?,"The requested Pre-dawn congestion in Hongdea is 
내선 :5:30 - 104.8, 6:00 - 26.8, 6:30 - 7.4. mean congestion is 46.3. This time period is not busy, so it's a good time to visit.
외선 :5:30 - 73.9, 6:00 - 43.8, 6:30 - 3.9. mean congestion is 40.5. This time period is not busy, so it's a good time to visit.
"
40,What’s the congestion like in Gangnam at High traffic time?,"The requested High traffic time congestion in Gangnam is 
내선 :7:00 - 8.3, 7:30 - 53.8, 8:00 - 95.4, 8:30 - 10.6, 9:00 - 62.1, 9:30 - 74.0, 17:00 - 52.1, 17:30 - 14.8, 18:00 - 0.7, 18:30 - 28.7, 19:00 - 42.1, 19:30 - 39.9. mean congestion is 40.2. This time period is not busy, so it's a good time to visit.
외선 :7:00 - 61.2, 7:30 - 53.4, 8:00 - 56.6, 8:30 - 79.3, 9:00 - 8.3, 9:30 - 107.9, 17:00 - 38.5, 17:30 - 21.8, 18:00 - 70.3, 18:30 - 22.6, 19:00 - 40.1, 19:30 - 83.5. mean congestion is 53.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
41,How packed does Myeongdong get around High traffic time?,"The requested High traffic time congestion in Myeongdong is 
내선 :7:00 - 103.3, 7:30 - 11.0, 8:00 - 85.8, 8:30 - 2.9, 9:00 - 109.8, 9:30 - 24.3, 17:00 - 28.5, 17:30 - 49.8, 18:00 - 36.1, 18:30 - 50.3, 19:00 - 73.9, 19:30 - 129.8. mean congestion is 58.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :7:00 - 90.3, 7:30 - 128.1, 8:00 - 86.9, 8:30 - 24.6, 9:00 - 100.5, 9:30 - 31.0, 17:00 - 37.9, 17:30 - 106.8, 18:00 - 86.4, 18:30 - 82.4, 19:00 - 20.3, 19:30 - 109.2. mean congestion is 75.4. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
42,What’s the congestion like in Myeongdong at Lunchtime rush?,"The requested Lunchtime rush congestion in Myeongdong is 
상선 :12:00 - 27.5, 12:30 - 87.4, 13:00 - 58.4, 13:30 - 97.1, 14:00 - 22.4, 14:30 - 125.9. mean congestion is 69.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :12:00 - 99.7, 12:30 - 11.4, 13:00 - 78.5, 13:30 - 88.8, 14:00 - 43.4, 14:30 - 119.2. mean congestion is 73.5. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
43,How much foot traffic does Myeongdong have at Dinner time?,"The requested Dinner time congestion in Myeongdong is 
상선 :17:00 - 102.8, 17:30 - 55.3, 18:00 - 118.7, 18:30 - 97.8, 19:00 - 29.3, 19:30 - 94.0. mean congestion is 83.0. This time period is crowded, so we recommend visiting during a different time.
하선 :17:00 - 15.9, 17:30 - 125.2, 18:00 - 49.0, 18:30 - 121.8, 19:00 - 99.9, 19:30 - 1.1. mean congestion is 68.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
44,How busy is Hongdea around Afternoon peak?,"The requested Afternoon peak congestion in Hongdea is 
상선 :17:00 - 129.5, 17:30 - 10.3, 18:00 - 29.7, 18:30 - 87.8, 19:00 - 52.2, 19:30 - 33.9. mean congestion is 57.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :17:00 - 29.9, 17:30 - 31.3, 18:00 - 126.2, 18:30 - 81.7, 19:00 - 32.3, 19:30 - 82.2. mean congestion is 63.9. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
45,How packed does Gangnam get around Noon hour?,"The requested Noon hour congestion in Gangnam is 
내선 :12:00 - 89.8, 12:30 - 60.3, 13:00 - 8.2, 13:30 - 16.0, 14:00 - 65.1, 14:30 - 80.2. mean congestion is 53.3. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 125.8, 12:30 - 43.7, 13:00 - 60.0, 13:30 - 13.2, 14:00 - 91.8, 14:30 - 81.3. mean congestion is 69.3. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
46,What are the crowds like in Myeongdong during Dinnertime bustle?,"The requested Dinnertime bustle congestion in Myeongdong is 
내선 :17:00 - 13.6, 17:30 - 124.5, 18:00 - 103.1, 18:30 - 36.9, 19:00 - 121.3, 19:30 - 32.5. mean congestion is 72.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :17:00 - 123.1, 17:30 - 102.4, 18:00 - 5.4, 18:30 - 36.1, 19:00 - 70.9, 19:30 - 95.2. mean congestion is 72.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
47,How much foot traffic does Hongdea have at Dinner time?,"The requested Dinner time congestion in Hongdea is 
상선 :17:00 - 55.9, 17:30 - 63.7, 18:00 - 63.1, 18:30 - 55.1, 19:00 - 59.4, 19:30 - 27.5. mean congestion is 54.1. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
하선 :17:00 - 10.8, 17:30 - 41.0, 18:00 - 23.1, 18:30 - 83.6, 19:00 - 124.6, 19:30 - 65.0. mean congestion is 58.0. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
48,How are the crowds in Hongdea at Midday?,"The requested Midday congestion in Hongdea is 
내선 :12:00 - 19.8, 12:30 - 82.6, 13:00 - 55.6, 13:30 - 14.0, 14:00 - 66.9, 14:30 - 71.1. mean congestion is 51.7. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 70.6, 12:30 - 78.5, 13:00 - 25.9, 13:30 - 114.8, 14:00 - 9.3, 14:30 - 101.5. mean congestion is 66.8. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
49,How heavy is the crowd in Hongdea around Lunchtime rush?,"The requested Lunchtime rush congestion in Hongdea is 
내선 :12:00 - 65.9, 12:30 - 63.9, 13:00 - 102.0, 13:30 - 127.1, 14:00 - 35.8, 14:30 - 4.9. mean congestion is 66.6. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
외선 :12:00 - 107.8, 12:30 - 34.3, 13:00 - 33.3, 13:30 - 42.0, 14:00 - 80.2, 14:30 - 81.7. mean congestion is 63.2. During this time period, the congestion level is moderate, so you may occasionally experience some inconvenience when moving around.
"
