,question,answer
10,What’s the foot traffic in HongDea during Peak travel time?,"The requested Peak travel time congestion in HongDea is 7:00 - 0.18, 8:00 - 0.95, 9:00 - 1.37, 16:00 - 1.12, 17:00 - 0.36, 18:00 - 0.44, 19:00 - 0.92, 20:00 - 0.69. mean congestion is 0.75. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
11,Is HongDea packed around Golden hour?,"The requested Golden hour congestion in HongDea is 7:00 - 0.4, 8:00 - 1.31, 9:00 - 0.63, 16:00 - 0.97, 17:00 - 1.28, 18:00 - 1.08, 19:00 - 0.39, 20:00 - 0.59. mean congestion is 0.83. This time frame is crowded, so we recommend visiting during a different time."
12,Is MyeongDong busy around Pre-dawn?,"The requested Pre-dawn congestion in MyeongDong is 5:00 - 0.59, 6:00 - 0.85. mean congestion is 0.72. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
13,How heavy is the crowd in HongDea around Lunch hour?,"The requested Lunch hour congestion in HongDea is 13:00 - 0.54, 14:00 - 1.13, 15:00 - 0.05. mean congestion is 0.57. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
14,How full does MyeongDong get during Evening commute?,"The requested Evening commute congestion in MyeongDong is 16:00 - 0.17, 17:00 - 0.33, 18:00 - 0.11, 19:00 - 1.2, 20:00 - 1.29. mean congestion is 0.62. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
15,What’s the crowd situation in GangNam at Lunchtime?,"The requested Lunchtime congestion in GangNam is 13:00 - 1.19, 14:00 - 0.18, 15:00 - 0.13. mean congestion is 0.5. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
16,How crowded is GangNam usually at Lunch hour?,"The requested Lunch hour congestion in GangNam is 13:00 - 0.95, 14:00 - 0.61, 15:00 - 1.38. mean congestion is 0.98. This time frame is crowded, so we recommend visiting during a different time."
17,What’s the congestion like in GangNam at Peak travel time?,"The requested Peak travel time congestion in GangNam is 7:00 - 0.42, 8:00 - 0.21, 9:00 - 1.34, 16:00 - 0.36, 17:00 - 0.51, 18:00 - 0.72, 19:00 - 0.16, 20:00 - 1.2. mean congestion is 0.62. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
18,Is GangNam busy around Early bird hours?,"The requested Early bird hours congestion in GangNam is 7:00 - 0.02, 8:00 - 1.12, 9:00 - 0.1. mean congestion is 0.41. This time frame is smooth, so there is no issue with visiting."
19,How full does MyeongDong get during Midday?,"The requested Midday congestion in MyeongDong is 13:00 - 1.18, 14:00 - 0.83, 15:00 - 0.61. mean congestion is 0.87. This time frame is crowded, so we recommend visiting during a different time."
20,How busy is MyeongDong around Peak travel time?,"The requested Peak travel time congestion in MyeongDong is 7:00 - 1.28, 8:00 - 0.59, 9:00 - 1.05, 16:00 - 0.48, 17:00 - 0.19, 18:00 - 0.71, 19:00 - 0.78, 20:00 - 1.43. mean congestion is 0.81. This time frame is crowded, so we recommend visiting during a different time."
21,What’s the population density in HongDea around Noon hour?,"The requested Noon hour congestion in HongDea is 13:00 - 0.87, 14:00 - 0.59, 15:00 - 0.64. mean congestion is 0.7. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
22,How crowded is MyeongDong usually at Golden hour?,"The requested Golden hour congestion in MyeongDong is 7:00 - 1.17, 8:00 - 0.85, 9:00 - 1.1, 16:00 - 1.1, 17:00 - 1.09, 18:00 - 0.07, 19:00 - 1.07, 20:00 - 0.52. mean congestion is 0.87. This time frame is crowded, so we recommend visiting during a different time."
23,How packed does GangNam get around Mid-morning hours?,"The requested Mid-morning hours congestion in GangNam is 10:00 - 0.62, 11:00 - 0.57, 12:00 - 0.45. mean congestion is 0.55. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
24,What are the crowds like in HongDea during Lunch hour?,"The requested Lunch hour congestion in HongDea is 13:00 - 1.15, 14:00 - 0.77, 15:00 - 0.45. mean congestion is 0.79. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
25,What’s the crowd flow like in HongDea during Morning rush hour?,"The requested Morning rush hour congestion in HongDea is 7:00 - 0.48, 8:00 - 1.28, 9:00 - 0.62. mean congestion is 0.79. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
26,How full does HongDea get during Dinnertime bustle?,"The requested Dinnertime bustle congestion in HongDea is 16:00 - 0.35, 17:00 - 0.69, 18:00 - 0.85, 19:00 - 1.29, 20:00 - 0.4. mean congestion is 0.72. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
27,How dense is the crowd in GangNam around Sunset hours?,"The requested Sunset hours congestion in GangNam is 16:00 - 0.78, 17:00 - 1.08, 18:00 - 1.1, 19:00 - 1.43, 20:00 - 1.13. mean congestion is 1.1. This time frame is crowded, so we recommend visiting during a different time."
28,What’s the crowd flow like in MyeongDong during Peak travel time?,"The requested Peak travel time congestion in MyeongDong is 7:00 - 0.8, 8:00 - 1.28, 9:00 - 1.39, 16:00 - 0.55, 17:00 - 0.3, 18:00 - 0.09, 19:00 - 0.54, 20:00 - 0.53. mean congestion is 0.68. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
29,What’s the Dinner time traffic like in MyeongDong?,"The requested Dinner time congestion in MyeongDong is 16:00 - 0.59, 17:00 - 0.57, 18:00 - 0.87, 19:00 - 0.71, 20:00 - 0.74. mean congestion is 0.7. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
30,What’s the Peak travel time traffic like in GangNam?,"The requested Peak travel time congestion in GangNam is 7:00 - 1.3, 8:00 - 1.32, 9:00 - 0.8, 16:00 - 1.43, 17:00 - 1.18, 18:00 - 1.48, 19:00 - 0.19, 20:00 - 1.4. mean congestion is 1.14. This time frame is crowded, so we recommend visiting during a different time."
31,Is HongDea packed around Sunset hours?,"The requested Sunset hours congestion in HongDea is 16:00 - 0.94, 17:00 - 0.19, 18:00 - 1.15, 19:00 - 0.71, 20:00 - 0.64. mean congestion is 0.73. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
32,How crowded is MyeongDong usually at Pre-dawn?,"The requested Pre-dawn congestion in MyeongDong is 5:00 - 0.48, 6:00 - 1.46. mean congestion is 0.97. This time frame is crowded, so we recommend visiting during a different time."
33,How crowded is GangNam usually at Pre-dawn?,"The requested Pre-dawn congestion in GangNam is 5:00 - 0.53, 6:00 - 0.06. mean congestion is 0.3. This time frame is smooth, so there is no issue with visiting."
34,How crowded is MyeongDong around Peak travel time?,"The requested Peak travel time congestion in MyeongDong is 7:00 - 0.73, 8:00 - 1.3, 9:00 - 1.38, 16:00 - 1.46, 17:00 - 0.83, 18:00 - 0.12, 19:00 - 0.03, 20:00 - 0.46. mean congestion is 0.79. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
35,How heavy is the crowd in MyeongDong around Commuter time?,"The requested Commuter time congestion in MyeongDong is 7:00 - 1.25, 8:00 - 1.31, 9:00 - 0.5, 16:00 - 0.04, 17:00 - 1.41, 18:00 - 1.18, 19:00 - 1.3, 20:00 - 0.38. mean congestion is 0.92. This time frame is crowded, so we recommend visiting during a different time."
36,What’s the foot traffic in GangNam during Lunchtime?,"The requested Lunchtime congestion in GangNam is 13:00 - 0.11, 14:00 - 1.05, 15:00 - 0.67. mean congestion is 0.61. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
37,How crowded is MyeongDong usually at Commuter time?,"The requested Commuter time congestion in MyeongDong is 7:00 - 0.92, 8:00 - 0.21, 9:00 - 1.34, 16:00 - 1.5, 17:00 - 0.17, 18:00 - 0.32, 19:00 - 0.49, 20:00 - 0.45. mean congestion is 0.68. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
38,How are the crowds in GangNam at Mid-morning hours?,"The requested Mid-morning hours congestion in GangNam is 10:00 - 0.98, 11:00 - 0.91, 12:00 - 0.43. mean congestion is 0.77. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
39,What’s the people flow in MyeongDong around Breakfast time?,"The requested Breakfast time congestion in MyeongDong is 7:00 - 0.7, 8:00 - 0.82, 9:00 - 0.25. mean congestion is 0.59. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
40,How full does GangNam get during Morning rush hour?,"The requested Morning rush hour congestion in GangNam is 7:00 - 0.1, 8:00 - 0.3, 9:00 - 0.44. mean congestion is 0.28. This time frame is smooth, so there is no issue with visiting."
41,What’s the foot traffic in GangNam during Golden hour?,"The requested Golden hour congestion in GangNam is 7:00 - 0.78, 8:00 - 0.36, 9:00 - 0.91, 16:00 - 0.92, 17:00 - 0.52, 18:00 - 0.99, 19:00 - 0.26, 20:00 - 0.18. mean congestion is 0.62. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
42,What’s the population density in GangNam around Brunch hour?,"The requested Brunch hour congestion in GangNam is 10:00 - 0.44, 11:00 - 1.39, 12:00 - 0.69. mean congestion is 0.84. This time frame is crowded, so we recommend visiting during a different time."
43,How much foot traffic does HongDea have at Noon hour?,"The requested Noon hour congestion in HongDea is 13:00 - 1.19, 14:00 - 0.14, 15:00 - 0.46. mean congestion is 0.6. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
44,What’s the people flow in MyeongDong around Twilight commute?,"The requested Twilight commute congestion in MyeongDong is 16:00 - 0.38, 17:00 - 1.38, 18:00 - 0.24, 19:00 - 0.02, 20:00 - 1.38. mean congestion is 0.68. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
45,What’s the people flow in MyeongDong around Sunset hours?,"The requested Sunset hours congestion in MyeongDong is 16:00 - 0.21, 17:00 - 0.53, 18:00 - 1.43, 19:00 - 0.98, 20:00 - 0.91. mean congestion is 0.81. This time frame is crowded, so we recommend visiting during a different time."
46,Is HongDea busy around Lunchtime?,"The requested Lunchtime congestion in HongDea is 13:00 - 1.1, 14:00 - 1.48, 15:00 - 0.62. mean congestion is 1.07. This time frame is crowded, so we recommend visiting during a different time."
47,How much foot traffic does GangNam have at Lunchtime rush?,"The requested Lunchtime rush congestion in GangNam is 13:00 - 0.53, 14:00 - 0.96, 15:00 - 1.45. mean congestion is 0.98. This time frame is crowded, so we recommend visiting during a different time."
48,How busy is GangNam around Pre-dawn?,"The requested Pre-dawn congestion in GangNam is 5:00 - 0.35, 6:00 - 1.16. mean congestion is 0.75. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
49,What’s the crowd level in GangNam during Morning rush hour?,"The requested Morning rush hour congestion in GangNam is 7:00 - 0.6, 8:00 - 0.9, 9:00 - 1.14. mean congestion is 0.88. This time frame is crowded, so we recommend visiting during a different time."
50,How dense is the crowd in GangNam around Afternoon traffic?,"The requested Afternoon traffic congestion in GangNam is 16:00 - 0.99, 17:00 - 1.44, 18:00 - 0.59, 19:00 - 1.06, 20:00 - 0.81. mean congestion is 0.98. This time frame is crowded, so we recommend visiting during a different time."
51,What are the crowds like in GangNam during Golden hour?,"The requested Golden hour congestion in GangNam is 7:00 - 0.19, 8:00 - 0.07, 9:00 - 1.02, 16:00 - 1.02, 17:00 - 0.31, 18:00 - 1.07, 19:00 - 0.61, 20:00 - 0.11. mean congestion is 0.55. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
52,What are the crowds like in GangNam during Commuter time?,"The requested Commuter time congestion in GangNam is 7:00 - 0.49, 8:00 - 0.4, 9:00 - 0.98, 16:00 - 0.98, 17:00 - 0.44, 18:00 - 0.71, 19:00 - 1.44, 20:00 - 0.36. mean congestion is 0.72. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
53,What are the crowds like in MyeongDong during High traffic time?,"The requested High traffic time congestion in MyeongDong is 7:00 - 0.5, 8:00 - 0.22, 9:00 - 0.4, 16:00 - 0.51, 17:00 - 0.94, 18:00 - 1.29, 19:00 - 0.93, 20:00 - 1.4. mean congestion is 0.77. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
54,What’s the people flow in MyeongDong around Lunchtime rush?,"The requested Lunchtime rush congestion in MyeongDong is 13:00 - 0.73, 14:00 - 1.24, 15:00 - 0.84. mean congestion is 0.94. This time frame is crowded, so we recommend visiting during a different time."
55,How crowded is HongDea around Midday?,"The requested Midday congestion in HongDea is 13:00 - 1.1, 14:00 - 0.56, 15:00 - 1.28. mean congestion is 0.98. This time frame is crowded, so we recommend visiting during a different time."
56,Is MyeongDong busy around Pre-dawn?,"The requested Pre-dawn congestion in MyeongDong is 5:00 - 0.72, 6:00 - 1.41. mean congestion is 1.06. This time frame is crowded, so we recommend visiting during a different time."
57,Is HongDea packed around Daybreak?,"The requested Daybreak congestion in HongDea is 5:00 - 0.3, 6:00 - 0.03. mean congestion is 0.16. This time frame is smooth, so there is no issue with visiting."
58,How full does HongDea get during Pre-dawn?,"The requested Pre-dawn congestion in HongDea is 5:00 - 0.32, 6:00 - 1.5. mean congestion is 0.91. This time frame is crowded, so we recommend visiting during a different time."
59,Is HongDea busy around Early morning?,"The requested Early morning congestion in HongDea is 5:00 - 0.65, 6:00 - 0.88. mean congestion is 0.76. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
60,How packed does MyeongDong get around Afternoon peak?,"The requested Afternoon peak congestion in MyeongDong is 16:00 - 0.74, 17:00 - 1.41, 18:00 - 0.88, 19:00 - 1.12, 20:00 - 0.14. mean congestion is 0.86. This time frame is crowded, so we recommend visiting during a different time."
61,How are the crowds in HongDea at Commuter time?,"The requested Commuter time congestion in HongDea is 7:00 - 0.63, 8:00 - 1.1, 9:00 - 0.46, 16:00 - 1.25, 17:00 - 0.77, 18:00 - 0.66, 19:00 - 1.42, 20:00 - 1.07. mean congestion is 0.92. This time frame is crowded, so we recommend visiting during a different time."
62,What’s the crowd situation in GangNam at Commuter time?,"The requested Commuter time congestion in GangNam is 7:00 - 0.73, 8:00 - 0.33, 9:00 - 0.8, 16:00 - 0.02, 17:00 - 0.55, 18:00 - 0.14, 19:00 - 1.47, 20:00 - 0.47. mean congestion is 0.56. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
63,How crowded is HongDea around Sunset hours?,"The requested Sunset hours congestion in HongDea is 16:00 - 0.69, 17:00 - 0.95, 18:00 - 1.48, 19:00 - 1.45, 20:00 - 1.2. mean congestion is 1.15. This time frame is crowded, so we recommend visiting during a different time."
64,What’s the crowd flow like in GangNam during Mid-morning hours?,"The requested Mid-morning hours congestion in GangNam is 10:00 - 1.37, 11:00 - 0.2, 12:00 - 0.82. mean congestion is 0.8. This time frame is crowded, so we recommend visiting during a different time."
65,What’s the foot traffic in HongDea during Early bird hours?,"The requested Early bird hours congestion in HongDea is 7:00 - 0.84, 8:00 - 1.47, 9:00 - 0.8. mean congestion is 1.04. This time frame is crowded, so we recommend visiting during a different time."
66,How full does GangNam get during Noon hour?,"The requested Noon hour congestion in GangNam is 13:00 - 1.42, 14:00 - 0.23, 15:00 - 0.42. mean congestion is 0.69. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
67,How dense is the crowd in GangNam around Twilight commute?,"The requested Twilight commute congestion in GangNam is 16:00 - 1.34, 17:00 - 0.23, 18:00 - 1.13, 19:00 - 0.82, 20:00 - 0.22. mean congestion is 0.75. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
68,What’s the people flow in MyeongDong around Dinnertime bustle?,"The requested Dinnertime bustle congestion in MyeongDong is 16:00 - 0.86, 17:00 - 0.66, 18:00 - 1.2, 19:00 - 0.08, 20:00 - 1.38. mean congestion is 0.84. This time frame is crowded, so we recommend visiting during a different time."
69,What’s the crowd level in HongDea during Pre-dawn?,"The requested Pre-dawn congestion in HongDea is 5:00 - 0.09, 6:00 - 1.1. mean congestion is 0.6. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
70,What are the crowds like in MyeongDong during Evening rush?,"The requested Evening rush congestion in MyeongDong is 16:00 - 0.92, 17:00 - 1.12, 18:00 - 0.95, 19:00 - 0.59, 20:00 - 0.11. mean congestion is 0.74. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
71,What’s the population density in GangNam around Morning hustle?,"The requested Morning hustle congestion in GangNam is 7:00 - 0.19, 8:00 - 0.25, 9:00 - 0.81. mean congestion is 0.42. This time frame is smooth, so there is no issue with visiting."
72,What’s the crowd situation in HongDea at Evening rush?,"The requested Evening rush congestion in HongDea is 16:00 - 1.28, 17:00 - 0.98, 18:00 - 0.85, 19:00 - 0.14, 20:00 - 0.11. mean congestion is 0.67. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
73,How are the crowds in GangNam at Dinnertime bustle?,"The requested Dinnertime bustle congestion in GangNam is 16:00 - 0.81, 17:00 - 1.29, 18:00 - 1.33, 19:00 - 1.44, 20:00 - 1.36. mean congestion is 1.25. This time frame is crowded, so we recommend visiting during a different time."
74,How packed does MyeongDong get around Lunchtime rush?,"The requested Lunchtime rush congestion in MyeongDong is 13:00 - 0.88, 14:00 - 0.83, 15:00 - 0.19. mean congestion is 0.63. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
75,What’s the population density in HongDea around Dawn hours?,"The requested Dawn hours congestion in HongDea is 5:00 - 1.48, 6:00 - 0.68. mean congestion is 1.08. This time frame is crowded, so we recommend visiting during a different time."
76,What’s the congestion like in MyeongDong at Late afternoon?,"The requested Late afternoon congestion in MyeongDong is 13:00 - 1.35, 14:00 - 1.22, 15:00 - 1.13. mean congestion is 1.23. This time frame is crowded, so we recommend visiting during a different time."
77,What are the crowds like in GangNam during Golden hour?,"The requested Golden hour congestion in GangNam is 7:00 - 0.42, 8:00 - 1.22, 9:00 - 0.46, 16:00 - 0.76, 17:00 - 0.81, 18:00 - 0.2, 19:00 - 1.06, 20:00 - 0.26. mean congestion is 0.65. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
78,What’s the crowd level in MyeongDong during Pre-dawn?,"The requested Pre-dawn congestion in MyeongDong is 5:00 - 1.44, 6:00 - 1.34. mean congestion is 1.39. This time frame is crowded, so we recommend visiting during a different time."
79,How packed does MyeongDong get around Noon hour?,"The requested Noon hour congestion in MyeongDong is 13:00 - 1.23, 14:00 - 1.41, 15:00 - 0.9. mean congestion is 1.18. This time frame is crowded, so we recommend visiting during a different time."
80,How packed does GangNam get around Lunch hour?,"The requested Lunch hour congestion in GangNam is 13:00 - 0.59, 14:00 - 1.36, 15:00 - 0.63. mean congestion is 0.86. This time frame is crowded, so we recommend visiting during a different time."
81,What’s the crowd level in HongDea during Late afternoon?,"The requested Late afternoon congestion in HongDea is 13:00 - 1.39, 14:00 - 0.43, 15:00 - 1.24. mean congestion is 1.02. This time frame is crowded, so we recommend visiting during a different time."
82,What’s the Early morning traffic like in GangNam?,"The requested Early morning congestion in GangNam is 5:00 - 1.38, 6:00 - 0.46. mean congestion is 0.92. This time frame is crowded, so we recommend visiting during a different time."
83,What are the crowds like in MyeongDong during Noon hour?,"The requested Noon hour congestion in MyeongDong is 13:00 - 1.48, 14:00 - 1.07, 15:00 - 0.03. mean congestion is 0.86. This time frame is crowded, so we recommend visiting during a different time."
84,What’s the foot traffic in MyeongDong during Commuter time?,"The requested Commuter time congestion in MyeongDong is 7:00 - 0.98, 8:00 - 0.84, 9:00 - 0.15, 16:00 - 0.8, 17:00 - 1.15, 18:00 - 0.59, 19:00 - 1.22, 20:00 - 0.98. mean congestion is 0.84. This time frame is crowded, so we recommend visiting during a different time."
85,How are the crowds in GangNam at Pre-dawn?,"The requested Pre-dawn congestion in GangNam is 5:00 - 0.26, 6:00 - 1.0. mean congestion is 0.63. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
86,What’s the crowd level in HongDea during Afternoon peak?,"The requested Afternoon peak congestion in HongDea is 16:00 - 0.64, 17:00 - 0.54, 18:00 - 1.28, 19:00 - 1.03, 20:00 - 0.39. mean congestion is 0.78. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
87,What’s the crowd flow like in HongDea during Midday?,"The requested Midday congestion in HongDea is 13:00 - 0.5, 14:00 - 0.32, 15:00 - 0.1. mean congestion is 0.31. This time frame is smooth, so there is no issue with visiting."
88,How crowded is HongDea around Peak travel time?,"The requested Peak travel time congestion in HongDea is 7:00 - 1.29, 8:00 - 0.62, 9:00 - 1.23, 16:00 - 0.86, 17:00 - 1.14, 18:00 - 0.88, 19:00 - 0.8, 20:00 - 0.62. mean congestion is 0.93. This time frame is crowded, so we recommend visiting during a different time."
89,How are the crowds in MyeongDong at Commuter time?,"The requested Commuter time congestion in MyeongDong is 7:00 - 0.79, 8:00 - 0.18, 9:00 - 0.37, 16:00 - 0.84, 17:00 - 0.31, 18:00 - 0.69, 19:00 - 0.92, 20:00 - 1.03. mean congestion is 0.64. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
90,Is MyeongDong packed around Post-work rush?,"The requested Post-work rush congestion in MyeongDong is 16:00 - 1.02, 17:00 - 0.34, 18:00 - 0.06, 19:00 - 0.17, 20:00 - 0.96. mean congestion is 0.51. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
91,How crowded is HongDea usually at High traffic time?,"The requested High traffic time congestion in HongDea is 7:00 - 0.63, 8:00 - 0.29, 9:00 - 1.42, 16:00 - 0.33, 17:00 - 1.04, 18:00 - 0.97, 19:00 - 0.39, 20:00 - 0.84. mean congestion is 0.74. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
92,How heavy is the crowd in MyeongDong around Evening rush?,"The requested Evening rush congestion in MyeongDong is 16:00 - 0.92, 17:00 - 0.72, 18:00 - 0.03, 19:00 - 0.2, 20:00 - 0.89. mean congestion is 0.55. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
93,How dense is the crowd in MyeongDong around Afternoon peak?,"The requested Afternoon peak congestion in MyeongDong is 16:00 - 0.5, 17:00 - 0.16, 18:00 - 0.58, 19:00 - 1.3, 20:00 - 0.32. mean congestion is 0.57. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
94,What’s the people flow in HongDea around Post-work rush?,"The requested Post-work rush congestion in HongDea is 16:00 - 0.88, 17:00 - 0.55, 18:00 - 0.99, 19:00 - 0.18, 20:00 - 0.62. mean congestion is 0.64. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
95,How crowded is GangNam usually at Sunset hours?,"The requested Sunset hours congestion in GangNam is 16:00 - 0.44, 17:00 - 0.92, 18:00 - 0.62, 19:00 - 0.78, 20:00 - 0.66. mean congestion is 0.68. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
96,What’s the population density in GangNam around Late afternoon?,"The requested Late afternoon congestion in GangNam is 13:00 - 0.29, 14:00 - 1.2, 15:00 - 1.08. mean congestion is 0.86. This time frame is crowded, so we recommend visiting during a different time."
97,How packed does MyeongDong get around Afternoon traffic?,"The requested Afternoon traffic congestion in MyeongDong is 16:00 - 0.81, 17:00 - 1.24, 18:00 - 0.27, 19:00 - 1.29, 20:00 - 0.71. mean congestion is 0.86. This time frame is crowded, so we recommend visiting during a different time."
98,What’s the crowd situation in MyeongDong at Lunchtime?,"The requested Lunchtime congestion in MyeongDong is 13:00 - 0.24, 14:00 - 0.29, 15:00 - 0.05. mean congestion is 0.19. This time frame is smooth, so there is no issue with visiting."
99,What’s the congestion like in GangNam at Midday?,"The requested Midday congestion in GangNam is 13:00 - 0.92, 14:00 - 0.14, 15:00 - 0.61. mean congestion is 0.56. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
100,What’s the crowd flow like in HongDea during Lunchtime rush?,"The requested Lunchtime rush congestion in HongDea is 13:00 - 1.36, 14:00 - 1.48, 15:00 - 1.27. mean congestion is 1.37. This time frame is crowded, so we recommend visiting during a different time."
101,How full does GangNam get during Mid-morning hours?,"The requested Mid-morning hours congestion in GangNam is 10:00 - 1.38, 11:00 - 1.4, 12:00 - 0.34. mean congestion is 1.04. This time frame is crowded, so we recommend visiting during a different time."
102,What’s the crowd situation in GangNam at Daybreak?,"The requested Daybreak congestion in GangNam is 5:00 - 0.34, 6:00 - 0.45. mean congestion is 0.4. This time frame is smooth, so there is no issue with visiting."
103,Is MyeongDong busy around Evening rush?,"The requested Evening rush congestion in MyeongDong is 16:00 - 0.7, 17:00 - 1.31, 18:00 - 0.51, 19:00 - 0.87, 20:00 - 0.17. mean congestion is 0.71. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
104,How full does GangNam get during Evening rush?,"The requested Evening rush congestion in GangNam is 16:00 - 1.44, 17:00 - 0.79, 18:00 - 0.16, 19:00 - 1.48, 20:00 - 0.1. mean congestion is 0.79. This time frame usually has moderate congestion, so you may occasionally experience some inconvenience while moving."
105,What’s the foot traffic in GangNam during Morning hustle?,"The requested Morning hustle congestion in GangNam is 7:00 - 1.16, 8:00 - 0.55, 9:00 - 1.24. mean congestion is 0.98. This time frame is crowded, so we recommend visiting during a different time."
106,What’s the foot traffic in HongDea during Morning rush hour?,"The requested Morning rush hour congestion in HongDea is 7:00 - 1.02, 8:00 - 0.07, 9:00 - 1.37. mean congestion is 0.82. This time frame is crowded, so we recommend visiting during a different time."
